date,region,commune_cercle,cas
3/25/20,Bamako,Bamako,1
3/25/20,Kayes,Kayes,1
3/26/20,Bamako,Bamako,1
3/26/20,Bamako,Bamako,1
3/27/20,Kayes,Yelimane,1
3/27/20,Bamako,Commune I,1
3/27/20,Bamako,Commune II,3
3/27/20,Bamako,Commune III,1
3/27/20,Bamako,Commune IV,1
3/28/20,Bamako,Commune I,7
3/29/20,Bamako,Commune V,1
3/29/20,Bamako,Commune III,1
3/30/20,Bamako,Commune I,2
3/30/20,Bamako,Commune VI,2
3/30/20,Koulikoro,Kati,1
3/31/20,Bamako,Commune I,1
3/31/20,Koulikoro,Kati,2
4/1/20,Bamako,Commune II,1
4/1/20,Bamako,Commune V,1
4/1/20,Bamako,Commune VI,1
4/2/20,Bamako,Commune I,1
4/2/20,Bamako,Commune II,1
4/2/20,Bamako,Commune III,1
4/2/20,Bamako,Commune V,1
4/2/20,Koulikoro,Kati,1
4/3/20,Bamako,Commune III,1
4/3/20,Bamako,Commune IV,2
4/4/20,Bamako,Commune IV,2
4/5/20,Bamako,Commune III,2
4/5/20,Bamako,Commune IV,2
4/6/20,Bamako,Commune V,1
4/6/20,Kayes,Kayes,1
4/7/20,Bamako,Commune I,2
4/7/20,Bamako,Commune II,1
4/7/20,Bamako,Commune III,1
4/7/20,Bamako,Commune IV,2
4/7/20,Bamako,Commune V,2
4/7/20,Mopti,Mopti,1
4/8/20,Bamako,Commune IV,1
4/8/20,Bamako,Commune I,1
4/8/20,Kayes,Kolokani,1
4/9/20,Kayes,Kayes,1
4/9/20,Bamako,Commune I,3
4/9/20,Bamako,Commune II,3
4/9/20,Bamako,Commune III,1
4/9/20,Bamako,Commune IV,1
4/9/20,Bamako,Commune V,2
4/9/20,Bamako,Commune VI,3
4/9/20,Koulikoro,Kati,1
4/10/20,Koulikoro,Kati,2
4/10/20,Sikasso,Koutiala,1
4/10/20,Bamako,Commune I,1
4/10/20,Bamako,Commune III,1
4/10/20,Bamako,Commune IV,4
4/10/20,Bamako,Commune V,2
4/10/20,Bamako,Commune VI,2
4/11/20,Mopti,Douentza,1
4/11/20,Bamako,Commune I,2
4/11/20,Bamako,Commune II,1
4/11/20,Bamako,Commune IV,1
4/11/20,Bamako,Commune V,9
4/11/20,Bamako,Commune VI,4
4/12/20,Kayes,Kayes,1
4/12/20,Koulikoro,Kati,2
4/12/20,Bamako,Commune I,2
4/12/20,Bamako,Commune IV,2
4/12/20,Bamako,Commune V,2
4/12/20,Bamako,Commune VI,2
4/13/20,Bamako,Commune I,3
4/13/20,Bamako,Commune IV,2
4/13/20,Bamako,Commune V,2
4/14/20,Koulikoro,Kati,3
4/14/20,Bamako,Commune I,1
4/14/20,Bamako,Commune III,3
4/14/20,Bamako,Commune IV,4
4/14/20,Bamako,Commune V,4
4/14/20,Bamako,Commune VI,6
4/15/20,Kayes,Kenieba,1
4/15/20,Bamako,Commune I,1
4/15/20,Bamako,Commune II,1
4/15/20,Bamako,Commune V,1
4/16/20,Bamako,Commune I,4
4/16/20,Bamako,Commune II,1
4/16/20,Bamako,Commune III,1
4/16/20,Bamako,Commune IV,2
4/16/20,Bamako,Commune V,3
4/16/20,Bamako,Commune VI,2
4/16/20,Kayes,Lafiabougou,3
4/16/20,Kayes,Yelimane,1
