Date,prelevements,nvx_cas,total_cas,gueris,deces,actifs,contacts,Tranfert
3/25/20,,2,2,0,0,2,,
3/26/20,,2,4,0,0,4,,
3/27/20,,7,10,0,0,11,,
3/28/20,,7,18,0,1,18,,
3/29/20,,2,20,0,1,19,,
3/30/20,,5,25,0,0,25,520,
3/31/20,,3,28,0,0,27,554,
4/1/20,,3,31,0,1,29,925,
4/2/20,,5,36,0,0,34,,
4/3/20,,3,39,0,0,37,,
4/4/20,,2,41,1,0,38,,
4/5/20,,4,45,0,2,40,,
4/6/20,446,2,47,0,0,42,,
4/7/20,,9,56,11,1,47,,
4/8/20,,3,59,4,1,46,,
4/9/20,,15,74,6,0,55,,
4/10/20,,13,87,0,0,68,,
4/11/20,,18,105,0,2,84,,
4/12/20,,11,116,3,0,92,,
4/13/20,,7,123,1,1,97,,
4/14/20,,21,144,8,3,107,,
4/15/20,,4,148,0,0,111,,
4/16/20,,23,171,0,0,134,,
4/17/20,,19,190,0,0,153,,
4/18/20,84,26,216,7,0,159,1533,
4/19/20,87,8,224,1,1,222,1635,
4/20/20,,22,246,14,0,230,1843,8
4/21/20,84,12,258,1,0,241,1903,
4/22/20,147,35,293,16,3,195,2023,
4/23/20,106,16,309,4,4,203,2031,
4/24/20,95,16,325,10,0,209,2172,
4/25/20,190,45,370,4,0,250,1920,
4/26/20,124,19,389,21,2,246,1998,
4/27/20,95,19,408,1,0,264,1931,
4/28/20,139,16,424,9,1,270,1962,
4/29/20,172,58,482,7,1,320,2039,
4/30/20,91,8,490,6,1,321,2111,
5/1/20,124,18,508,61,0,278,1193,
5/2/20,95,36,544,10,0,304,2252,
5/3/20,98,19,563,7,1,315,1711,
5/4/20,130,17,580,10,2,320,2010,
5/5/20,133,32,612,5,3,344,2013,
5/6/20,76,19,631,33,0,330,2016,
5/7/20,90,19,650,10,0,339,2021,
5/8/20,149,18,668,14,3,340,2142,
5/9/20,101,24,692,13,3,348,2076,
5/10/20,90,12,704,49,0,311,2050,
